"year","sample_id","farm_name","producer_name","producer_id","field_name","field_id","county","longitude","latitude","crop","texture","total_n_percent","total_c_percent","toc_percent","om_percent","poxc_mg_kg","min_c_96hr_mg_c_kg_day","amm_n_mg_kg","nitrate_n_mg_kg","ace_g_protein_kg_soil","pm_n_mg_kg","pm_n_lbs_ac","ec_mmhos_cm","olsen_p_mg_kg","k_mg_kg","ca_cmolc_kg","ca_mg_kg","mg_cmolc_kg","mg_mg_kg","na_cmolc_kg","na_mg_kg","cec_meq_100g","zn_mg_kg","mn_mg_kg","cu_mg_kg","fe_mg_kg","s_mg_kg","b_mg_kg","bd_g_cm3","wsa_percent","whc_in_ft","sand_percent","clay_percent","silt_percent","moisture_percent","ph","inorganic_c_percent","min_c_24hr_mg_c_kg_day","root_knot_nematodes_250g","root_lesion_nematodes_500cc","stubby_root_nematodes_500cc","stunt_nematodes_500cc","pin_nematodes_500cc","spiral_nematodes_500cc","ring_nematodes_500cc","stem_nematodes_500cc","dagger_nematodes_500cc","sheath_nematodes_500cc","activity_nematodes_500cc","amm_n_lbs_ac","nitrate_n_lbs_ac","bray_p_mg_kg","betagluc","awhc_g_g","paw_percent","pr0_15cm_psi","pr15_45cm_psi","infiltration_min_in","apple_bioassay","bean_bioassay","larval_cyst_nematodes_500cc"
2022,"D030301","Farm 03","Name 03",3,"Field 01",1,"D",-120,50,"Wheat","Silt Loam",0.08,0.67,0.67,1.3,130,9.8,2.3,1.9,5.41,1.5,5.23,0.29,19,356,6.6,1320,2.5,302.5,0.1,23,10.4,0.2,4.1,1.5,18,0.72,0.17,1.28,67.6,2.07,32,12,56,10.33,6.1,,,,,,,,,,,,,,,,,,,,,,,,,
2022,"D030302","Farm 03","Name 03",3,"Field 02",2,"D",-120,50,"CRP/Conservation","Silt Loam",0.09,0.94,0.94,1.6,201,27.7,5.5,3.1,5.06,14.4,44.62,0.34,23,374,7.9,1580,2.5,302.5,0.07,16.1,11.2,0.5,2.2,1.1,12,3.1,0.23,1.14,69.2,2.02,33,13,54,12.23,6.6,,,,,,,,,,,,,,,,,,,,,,,,,
2022,"D040401","Farm 04","Name 04",4,"Field 01",1,"D",-120,50,"Apple","Loamy Sand",0.09,0.87,0.87,1.8,462,63.8,3.3,3,9.85,30.2,99.27,0.21,55,224,6.4,1280,1.2,145.2,0.1,23,6,20.1,2.9,1.4,36,26.36,0.5,1.21,87.5,0.95,76,3,21,11,7,,,,,,,,,,,,,,,,,,,,,,,,,
2022,"D040402","Farm 04","Name 04",4,"Field 02",2,"D",-120,50,"Green Manure","Sandy Loam",0.1,1.12,1.02,2.3,432,60,2.5,2.2,9.54,57.4,226.52,0.03,22,181,6.6,1320,1.2,145.2,0.09,20.7,7.3,23.2,1.5,0.8,12,9.61,0.64,1.45,86.8,1.1,71,2,27,8.4,7.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,
2022,"D040403","Farm 04","Name 04",4,"Field 03",3,"D",-120,50,"Cherry","Sandy Loam",0.09,0.86,0.78,1.8,426,22.5,6,5.5,9.96,13,40.43,0.1,39,325,5.6,1120,1.3,157.3,0.08,18.4,7,17.2,2.3,1.9,13,47.62,1.11,1.14,88.2,1.31,63,3,34,16.4,7.2,0.08,,,,,,,,,,,,,,,,,,,,,,,,
2022,"D040404","Farm 04","Name 04",4,"Field 04",4,"D",-120,50,"Green Manure","Sandy Loam",0.13,1.56,1.46,2.3,521,52.5,3.7,2.8,11.47,20.4,72.85,0.62,26,230,4.4,880,0.9,108.9,0.06,13.8,7.1,19.9,1.7,1.5,13,6.84,0.97,1.31,89.4,1.23,66,3,31,9.5,7.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,
2022,"B010101","Farm 01","Name 01",1,"Field 01",1,"B",-120,50,"Hops","Loam",0.1,1.01,0.87,1.8,382,248.25,9.3,19.9,3.73,0.1,0.36,1.43,54,457,15.3,3060,3.4,411.4,0.33,75.9,12.6,3.1,5.5,1.3,34,34.34,0.3,1.34,94.4,1.69,47,9,44,24.6,7.2,0.14,33.7,,,,,,,,,,,,,,,,,,,,,,,
2022,"B010102","Farm 01","Name 01",1,"Field 02",2,"B",-120,50,"Hops","Silt Loam",0.11,0.94,0.94,1.8,351,15.75,21.3,29.7,5.01,19.4,72.35,1.04,36,337,8.8,1760,3.4,411.4,0.12,27.6,10.2,5.8,13.8,7.3,54,11.01,0.28,1.37,92.6,1.99,36,10,54,25.27,6.1,,0,,,,,,,,,,,,,,,,,,,,,,,
2022,"B010103","Farm 01","Name 01",1,"Field 03",3,"B",-120,50,"Hops","Loam",0.11,1.08,1.08,2,410,13.5,14.5,15,5.7,0.1,0.38,1.35,40,281,10.6,2120,3.1,375.1,0.17,39.1,10.6,8.4,14.7,16.1,77,28.39,0.29,1.39,94.2,1.8,43,9,48,21.93,6.4,,1.5,,,,,,,,,,,,,,,,,,,,,,,
2022,"B010104","Farm 01","Name 01",1,"Field 04",4,"B",-120,50,"Hops","Silt Loam",0.11,1.06,1.06,2.2,368,24,12,21.7,4.48,0.1,0.32,1.22,17,186,16.3,3260,3.3,399.3,0.12,27.6,11.7,6.1,8.3,1.4,30,9.19,0.24,1.18,91.7,1.92,39,9,52,27.63,7,,3.8,,,,,,,,,,,,,,,,,,,,,,,
